mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__subsample,param_classifier__reg_lambda,param_classifier__reg_alpha,param_classifier__num_leaves,param_classifier__n_estimators,param_classifier__min_child_samples,param_classifier__max_depth,param_classifier__learning_rate,param_classifier__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
22.728945779800416,5.878480122405863,0.9041551113128662,0.5550636975356915,0.8,0.1,0.0,31,500,10,5,0.2,0.7,"{'classifier__subsample': 0.8, 'classifier__reg_lambda': 0.1, 'classifier__reg_alpha': 0, 'classifier__num_leaves': 31, 'classifier__n_estimators': 500, 'classifier__min_child_samples': 10, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.2, 'classifier__colsample_bytree': 0.7}",0.0324773413897281,0.03474320241691843,0.03600201409869084,0.038016112789526685,0.03272910372608258,0.03479355488418932,0.0020724184921708634,1,0.12367824773413898,0.12481117824773413,0.11782477341389729,0.12518882175226587,0.12210473313192347,0.12272155085599194,0.0026731303990156557
69.02747435569763,7.333585426482673,0.9379727840423584,0.2350413253508288,0.9,1.0,0.5,127,500,10,11,0.1,0.7,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 1.0, 'classifier__reg_alpha': 0.5, 'classifier__num_leaves': 127, 'classifier__n_estimators': 500, 'classifier__min_child_samples': 10, 'classifier__max_depth': 11, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.7}",0.033736153071500505,0.030966767371601207,0.030211480362537766,0.030966767371601207,0.03147029204431017,0.03147029204431017,0.0012021486793870417,2,0.2836102719033233,0.28619083585095667,0.2877643504531722,0.2868202416918429,0.28537260825780464,0.2859516616314199,0.0014081821658786101
30.65320725440979,2.264269215955528,0.48382959365844724,0.05632252714804462,0.6,1.0,1.0,63,500,5,11,0.1,1.0,"{'classifier__subsample': 0.6, 'classifier__reg_lambda': 1.0, 'classifier__reg_alpha': 1.0, 'classifier__num_leaves': 63, 'classifier__n_estimators': 500, 'classifier__min_child_samples': 5, 'classifier__max_depth': 11, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 1.0}",0.030966767371601207,0.026938569989929505,0.028952668680765358,0.03323262839879154,0.026686807653575024,0.02935548841893253,0.0024800826497532232,3,0.13846928499496475,0.1351963746223565,0.13123111782477342,0.13840634441087613,0.13783987915407855,0.13622860020140987,0.002771273274149948
42.38737592697144,6.639103416282383,0.745805025100708,0.14315525571699575,0.9,0.1,0.1,63,500,5,-1,0.1,0.6,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 0.1, 'classifier__reg_alpha': 0.1, 'classifier__num_leaves': 63, 'classifier__n_estimators': 500, 'classifier__min_child_samples': 5, 'classifier__max_depth': -1, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.6}",0.029959718026183284,0.026435045317220542,0.027945619335347432,0.03499496475327291,0.026183282980866064,0.029103726082578045,0.0032382548219161192,4,0.1683031218529708,0.16824018126888218,0.16081319234642497,0.1745342396777442,0.17428247734138974,0.16923464249748238,0.005026805613458502
10.752738618850708,0.9521903557269817,0.42185401916503906,0.040550006087713586,0.8,0.5,0.0,31,200,20,7,0.2,0.6,"{'classifier__subsample': 0.8, 'classifier__reg_lambda': 0.5, 'classifier__reg_alpha': 0, 'classifier__num_leaves': 31, 'classifier__n_estimators': 200, 'classifier__min_child_samples': 20, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.2, 'classifier__colsample_bytree': 0.6}",0.026686807653575024,0.027190332326283987,0.030715005035246726,0.031973816717019134,0.026938569989929505,0.02870090634441087,0.002200581408198606,5,0.06369587109768379,0.0634441087613293,0.06319234642497483,0.06168177240684793,0.06401057401812689,0.06320493454179255,0.0008083884369588297
16.903107261657716,2.6579411995382407,0.4555057525634766,0.025562018765996484,0.8,1.0,0.5,15,500,10,9,0.2,0.6,"{'classifier__subsample': 0.8, 'classifier__reg_lambda': 1.0, 'classifier__reg_alpha': 0.5, 'classifier__num_leaves': 15, 'classifier__n_estimators': 500, 'classifier__min_child_samples': 10, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.2, 'classifier__colsample_bytree': 0.6}",0.025931520644511583,0.026183282980866064,0.02920443101711984,0.032225579053373615,0.02744209466263847,0.028197381671701917,0.002323863194202281,6,0.06854229607250756,0.0662134944612286,0.06545820745216516,0.06539526686807653,0.06520644511581067,0.0661631419939577,0.0012381230418868914
8.266641855239868,1.4764193471565326,0.3718083381652832,0.027264963968587484,0.6,0.0,0.1,15,300,10,3,0.2,1.0,"{'classifier__subsample': 0.6, 'classifier__reg_lambda': 0, 'classifier__reg_alpha': 0.1, 'classifier__num_leaves': 15, 'classifier__n_estimators': 300, 'classifier__min_child_samples': 10, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.2, 'classifier__colsample_bytree': 1.0}",0.023413897280966767,0.02366565961732125,0.023413897280966767,0.02920443101711984,0.022658610271903322,0.024471299093655592,0.0023905493394701352,7,0.03423967774420947,0.0334214501510574,0.030085599194360525,0.02964501510574018,0.03291792547834844,0.0320619335347432,0.0018477537496563547
13.899383211135865,1.4112831504389693,0.5358458995819092,0.0945526175198533,0.9,1.0,0.5,31,300,20,5,0.1,0.6,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 1.0, 'classifier__reg_alpha': 0.5, 'classifier__num_leaves': 31, 'classifier__n_estimators': 300, 'classifier__min_child_samples': 20, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 0.6}",0.02391742195367573,0.022910372608257804,0.02391742195367573,0.026435045317220542,0.023413897280966767,0.024118831822759316,0.0012168223538363112,8,0.04047079556898288,0.03877139979859013,0.03537260825780463,0.03663141993957704,0.03864551863041289,0.037978348439073516,0.0017827191306244185
26.324354696273804,1.1525503111836763,0.6410967350006104,0.1010315750755794,0.6,0.5,1.0,31,500,10,9,0.05,0.9,"{'classifier__subsample': 0.6, 'classifier__reg_lambda': 0.5, 'classifier__reg_alpha': 1.0, 'classifier__num_leaves': 31, 'classifier__n_estimators': 500, 'classifier__min_child_samples': 10, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.05, 'classifier__colsample_bytree': 0.9}",0.021148036253776436,0.02014098690835851,0.02039274924471299,0.020896273917421954,0.02039274924471299,0.020594159113796577,0.0003700135563116586,9,0.04047079556898288,0.0377643504531722,0.03449144008056395,0.03637965760322256,0.03707200402819738,0.0372356495468278,0.0019511987131531348
8.060586738586426,0.09579361287866042,0.31522140502929685,0.019016257310820427,0.9,1.0,0.1,15,100,5,5,0.2,0.6,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 1.0, 'classifier__reg_alpha': 0.1, 'classifier__num_leaves': 15, 'classifier__n_estimators': 100, 'classifier__min_child_samples': 5, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.2, 'classifier__colsample_bytree': 0.6}",0.019385699899295065,0.019637462235649546,0.02240684793554884,0.020896273917421954,0.02014098690835851,0.020493454179254782,0.0010869603799054833,10,0.030211480362537766,0.027316213494461228,0.026497985901309164,0.026497985901309164,0.026749748237663646,0.027454682779456195,0.0014104309411308467
